"","year","area","street_1","street_2"
"311",2011,"Birmingham","LICHFIELD  ROAD,  SUTTON  COLDFIELD","LICHFIELD ROAD, SUTTON COLDFIELD"
"312",2011,"Birmingham","Lindridge  Road,  Sutton  Coldfield","Lindridge Road, Sutton Coldfield"
"313",2011,"Birmingham","little  aston  lane","little aston lane"
"314",2011,"Birmingham","LONGFORD  ROAD","LONGFORD ROAD"
"315",2011,"Birmingham","Longford  Road,  Kingstanding,  B'ham","Longford Road, Kingstanding, B'ham"
"316",2011,"Birmingham","lower  parade","lower parade"
"317",2011,"Birmingham","LOWER  PARADE","LOWER PARADE"
"318",2011,"Birmingham","lower  parade",""
"319",2011,"Birmingham","lower  parade",""
"320",2011,"Birmingham","lower  parade",""
"321",2011,"Birmingham","lower  parade",""
"322",2011,"Birmingham","LOWER  PARADE",""
"323",2011,"Birmingham","Lower  Parade","Lower Parade"
"324",2011,"Birmingham","Lower  Parade",""
"325",2011,"Birmingham","LOWER  PARADE",""
"326",2011,"Birmingham","Lower  Parade",""
"327",2011,"Birmingham","LOWER  PARADE",""
"328",2011,"Birmingham","Lower  Parade",""
"329",2011,"Birmingham","LOWER  PARADE",""
"330",2011,"Birmingham","LOWER  PARADE",""
"331",2011,"Birmingham","Lower  Parade",""
"332",2011,"Birmingham","Lower  Parade",""
"333",2011,"Birmingham","Lower  Parade",""
"334",2011,"Birmingham","LOWER  PARADE",""
"335",2011,"Birmingham","lower  parade  SC","lower parade SC"
"336",2011,"Birmingham","LOWER  PARADE  SUTTON","LOWER PARADE SUTTON"
"337",2011,"Birmingham","Lower  Parade  Sutton  Coldfield","Lower Parade Sutton Coldfield"
"338",2011,"Birmingham","lower  parade,","lower parade,"
"339",2011,"Birmingham","Lower  parade,  Suton  Coldfield","Lower parade, Suton Coldfield"
"340",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield","Lower Parade, Sutton Coldfield"
"341",2011,"Birmingham","lower  parade,  sutton  coldfield","lower parade, sutton coldfield"
"342",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",""
"343",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",""
"344",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",""
"345",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",""
"346",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",""
"347",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",""
"348",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",""
"349",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",""
"350",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",""
"351",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",""
"352",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",""
"353",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",""
"354",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield",""
"355",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield  town  centre","Lower Parade, Sutton Coldfield town centre"
"356",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield  town  Centre","Lower Parade, Sutton Coldfield town Centre"
"357",2011,"Birmingham","Lower  Parade,  Sutton  Coldfield.","Lower Parade, Sutton Coldfield."
"358",2011,"Birmingham","lydham  close","lydham close"
"359",2011,"Birmingham","Mill  str.","Mill str."
"360",2011,"Birmingham","Mill  str.,  Sutton  Coldfield","Mill str., Sutton Coldfield"
"361",2011,"Birmingham","moor  hall  hotel","moor hall hotel"
"362",2011,"Birmingham","Mulberry  Court  Carpark,  Kings  Road,  Kingstanding,  Birmingham","Mulberry Court Carpark, Kings Road, Kingstanding, Birmingham"
"363",2011,"Birmingham","newhall  walk  car  park","newhall walk car park"
"364",2011,"Birmingham","newhall  walk  car  park",""
"365",2011,"Birmingham","O/S  H/A","O/S H/A"
"366",2011,"Birmingham","O/s  Litten  Tree","O/s Litten Tree"
"367",2011,"Birmingham","O/S  Litten  Tree,  S/C  Town  Centre","O/S Litten Tree, S/C Town Centre"
"368",2011,"Birmingham","O/S  MooMoo  Bar,  S/c  Town  Centre","O/S MooMoo Bar, S/c Town Centre"
"369",2011,"Birmingham","o/s  moomoo  bar,  South  parade","o/s moomoo bar, South parade"
"370",2011,"Birmingham","o/s  retro","o/s retro"
"371",2011,"Birmingham","O/S  Retro  ,  South  parade","O/S Retro , South parade"
"372",2011,"Birmingham","O/S  Retros","O/S Retros"
"373",2011,"Birmingham","O/S  Royal  Hotel,  Lichfield  Road","O/S Royal Hotel, Lichfield Road"
"374",2011,"Birmingham","o/s  temple  bar","o/s temple bar"
"375",2011,"Birmingham","O/S  Temple  Bar","O/S Temple Bar"
"376",2011,"Birmingham","O/S  Temple  Bar,  High  str.","O/S Temple Bar, High str."
"377",2011,"Birmingham","O/s  Temple  Bar,  Lower  Parade  Sutton  Coldfield.","O/s Temple Bar, Lower Parade Sutton Coldfield."
